,zipcode,community,median_income,population,starbucks_count,fastfood_Count
0,90007,"Los Angeles (Southeast Los Angeles, Univerity Park)",23070,41221,3,2
1,90012,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)",38786,33783,7,1
2,90014,"Los Angeles (Downtown Historic Core, Arts District)",37619,7408,2,1
3,90017,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)",28638,26390,4,1
4,90027,"Los Angeles (Griffith Park, Hollywood, Los Feliz)",58344,45616,3,2
5,90028,Los Angeles (Hollywood),40068,31054,9,1
6,90042,Los Angeles (Highland Park),55596,63788,1,2
7,90045,"Los Angeles (Los Angeles International Airport, Westchester)",90399,41420,21,1
8,90047,Los Angeles (South Los Angeles),42551,48491,1,1
9,90049,"Los Angeles (Bel Air Estates, Brentwood)",121671,36362,2,1
10,90057,Los Angeles (Westlake),31337,49389,1,2
11,90063,"City Terrace, Los Angeles (Boyle Heights)",44121,53556,1,1
12,90066,"Culver City, Los Angeles (Mar Vista)",75209,59747,1,1
13,90201,"Bell, Bell Gardens, Cudahy",39498,102878,2,2
14,90220,"Compton, Rancho Dominguez",54014,51713,3,3
15,90230,Culver City,79242,32657,6,1
16,90232,Culver City,82254,14865,1,1
17,90241,Downey,64222,44097,2,1
18,90247,Gardena,46076,47969,3,1
19,90248,Gardena,58703,10899,1,2
20,90250,Hawthorne (Holly Park),49417,97371,6,1
21,90255,"Huntington Park, Walnut Park",40325,75636,2,2
22,90275,"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates",124384,42606,2,3
23,90302,Inglewood,43788,30892,1,2
24,90303,Inglewood,44470,24658,2,3
25,90401,Santa Monica (Downtown),71154,7485,6,1
26,90501,Torrance,64995,43008,2,2
27,90502,"Torrance, West Carson",68676,18010,1,1
28,90504,Torrance,79352,33422,2,2
29,90505,Torrance,91569,37368,7,2
30,90603,Whittier,95354,20697,2,2
31,90605,"South Whittier, Whittier",66963,41818,2,2
32,90606,"Los Nietos, West Whittier",66566,32599,3,2
33,90630,Hawaiian Gardens (overlaps Orange County),90165,49249,4,2
34,90631,La Habra Heights,76910,69579,5,5
35,90638,La Mirada,86141,49797,3,1
36,90640,Montebello,50326,63547,3,1
37,90650,Norwalk,63669,106404,8,1
